sample_id,word_index,word,pred_start_s,pred_end_s,reference_start_s,reference_end_s,review_status,reviewer_note
-s9qJ7ATP7w__7,9,who,2.1625,2.2225,,,pending,
-s9qJ7ATP7w__7,10,started,2.2625,2.5225,,,pending,
-s9qJ7ATP7w__7,11,Avis,2.5425,2.7625,,,pending,
-s9qJ7ATP7w__7,12,Rent,2.8025,2.9625,,,pending,
-s9qJ7ATP7w__7,13,a,2.9825,3.0025,,,pending,
-s9qJ7ATP7w__7,14,"Car,",3.0625,3.1825,,,pending,
-s9qJ7ATP7w__7,15,and,3.2225,3.2825,,,pending,
-s9qJ7ATP7w__7,16,he,3.3225,3.3625,,,pending,
-s9qJ7ATP7w__7,17,said,3.4425,3.6225,,,pending,
-s9qJ7ATP7w__7,18,to,3.6425,3.6825,,,pending,
-s9qJ7ATP7w__7,19,me,3.7025,3.7625,,,pending,
-s9qJ7ATP7w__7,20,one,3.8825,3.9825,,,pending,
-s9qJ7ATP7w__7,21,"day,",4.0225,4.1825,,,pending,
-s9qJ7ATP7w__7,22,"""Robert,",4.8225,5.1025,,,pending,
-s9qJ7ATP7w__7,23,"""what's",5.1625,5.3425,,,pending,
-s9qJ7ATP7w__7,24,the,5.3825,5.4425,,,pending,
-s9qJ7ATP7w__7,25,purpose,5.5025,5.8025,,,pending,
-s9qJ7ATP7w__7,26,of,5.8425,5.8825,,,pending,
-s9qJ7ATP7w__7,27,business,5.9425,6.6225,,,pending,
-wny0OAz3g8__7,0,Omi,0.1625,0.6825,,,pending,
-wny0OAz3g8__7,1,and,0.7425,0.8025,,,pending,
-wny0OAz3g8__7,2,Winant,0.8225,1.0625,,,pending,
-wny0OAz3g8__7,3,argue,1.1425,1.3225,,,pending,
-wny0OAz3g8__7,4,that,1.3625,1.4425,,,pending,
-wny0OAz3g8__7,5,the,1.4625,1.5425,,,pending,
-wny0OAz3g8__7,6,concept,1.5825,1.9025,,,pending,
-wny0OAz3g8__7,7,of,1.9625,2.0025,,,pending,
-wny0OAz3g8__7,8,race,2.0625,2.2425,,,pending,
-wny0OAz3g8__7,9,came,2.3225,2.4625,,,pending,
-wny0OAz3g8__7,10,about,2.5225,2.6825,,,pending,
-wny0OAz3g8__7,11,as,2.7425,2.7825,,,pending,
-wny0OAz3g8__7,12,a,2.8425,2.8625,,,pending,
-wny0OAz3g8__7,13,tool,2.9225,3.1225,,,pending,
-wny0OAz3g8__7,14,to,3.2025,3.2625,,,pending,
-wny0OAz3g8__7,15,justify,3.3225,3.7625,,,pending,
-wny0OAz3g8__7,16,and,3.8825,3.9625,,,pending,
-wny0OAz3g8__7,17,maintain,4.0025,4.4025,,,pending,
-wny0OAz3g8__7,18,the,4.5425,4.6225,,,pending,
-wny0OAz3g8__7,19,economic,4.7025,5.0625,,,pending,
-wny0OAz3g8__7,20,and,5.1425,5.2025,,,pending,
-wny0OAz3g8__7,21,political,5.2425,5.6025,,,pending,
-wny0OAz3g8__7,22,power,5.6625,5.9425,,,pending,
-wny0OAz3g8__7,23,held,6.0425,6.2225,,,pending,
-wny0OAz3g8__7,24,by,6.2625,6.3425,,,pending,
-wny0OAz3g8__7,25,those,6.3825,6.5425,,,pending,
-wny0OAz3g8__7,26,of,6.6025,6.6425,,,pending,
-wny0OAz3g8__7,27,European,6.7025,7.0625,,,pending,
-wny0OAz3g8__7,28,descent,7.1225,7.7625,,,pending,
-I_e4mIh0yE__3,0,It's,0.5825,0.7225,,,pending,
-I_e4mIh0yE__3,1,perceived,0.9225,1.4425,,,pending,
-I_e4mIh0yE__3,2,that,1.5425,1.6625,,,pending,
-I_e4mIh0yE__3,3,you,1.7025,2.0425,,,pending,
-I_e4mIh0yE__3,4,have,3.1025,3.3625,,,pending,
-I_e4mIh0yE__3,5,actually,3.4225,3.7025,,,pending,
-I_e4mIh0yE__3,6,learned,3.8025,4.0825,,,pending,
-I_e4mIh0yE__3,7,"something,",4.2625,4.6825,,,pending,
-I_e4mIh0yE__3,8,over,5.4625,5.5825,,,pending,
-I_e4mIh0yE__3,9,the,5.6425,5.7025,,,pending,
-I_e4mIh0yE__3,10,course,5.7425,5.9425,,,pending,
-I_e4mIh0yE__3,11,of,5.9625,6.0225,,,pending,
-I_e4mIh0yE__3,12,your,6.0425,6.1625,,,pending,
-I_e4mIh0yE__3,13,"carreer,",6.2225,6.4425,,,pending,
-I_e4mIh0yE__3,14,and,6.4825,6.5425,,,pending,
-I_e4mIh0yE__3,15,that,6.5625,6.6425,,,pending,
-I_e4mIh0yE__3,16,you,6.6825,6.7825,,,pending,
-I_e4mIh0yE__3,17,won't,6.8425,7.0425,,,pending,
-I_e4mIh0yE__3,18,make,7.3425,7.5025,,,pending,
-I_e4mIh0yE__3,19,the,7.5425,7.6025,,,pending,
-I_e4mIh0yE__3,20,mistake,7.6425,7.9625,,,pending,
-I_e4mIh0yE__3,21,twice.,8.0625,8.3825,,,pending,
-yRb-Jum7EQ__5,0,Yesterday,0.1225,0.4825,,,pending,
-yRb-Jum7EQ__5,1,Eliav,0.6625,0.9225,,,pending,
-yRb-Jum7EQ__5,2,Gelman,1.0225,1.3825,,,pending,
-yRb-Jum7EQ__5,3,lost,1.4825,1.7425,,,pending,
-yRb-Jum7EQ__5,4,his,2.7625,3.0625,,,pending,
-yRb-Jum7EQ__5,5,life,3.1625,3.3825,,,pending,
-yRb-Jum7EQ__5,6,in,3.7225,3.7625,,,pending,
-yRb-Jum7EQ__5,7,another,3.8425,4.5025,,,pending,
-yRb-Jum7EQ__5,8,terrorist,4.8425,5.3025,,,pending,
-yRb-Jum7EQ__5,9,"attack,",5.4225,6.0825,,,pending,
-yRb-Jum7EQ__5,10,not,6.2825,6.4825,,,pending,
-yRb-Jum7EQ__5,11,by,6.6225,6.7225,,,pending,
-yRb-Jum7EQ__5,12,the,7.4225,7.5225,,,pending,
-yRb-Jum7EQ__5,13,students,7.5825,8.1425,,,pending,
-yRb-Jum7EQ__5,14,of,8.1825,8.2825,,,pending,
-yRb-Jum7EQ__5,15,"terrorism,",8.4025,8.7625,,,pending,
-yRb-Jum7EQ__5,16,but,8.7825,9.0825,,,pending,
-yRb-Jum7EQ__5,17,by,9.2025,9.2825,,,pending,
-yRb-Jum7EQ__5,18,those,9.4625,9.7225,,,pending,
-yRb-Jum7EQ__5,19,who,9.8225,10.0425,,,pending,
-yRb-Jum7EQ__5,20,teach,10.1025,10.2225,,,pending,
-yRb-Jum7EQ__5,21,"terrorism,",10.4425,10.9825,,,pending,
-yRb-Jum7EQ__5,22,a,11.1225,11.1425,,,pending,
-yRb-Jum7EQ__5,23,Palestinian,11.2225,11.7225,,,pending,
-yRb-Jum7EQ__5,24,teacher.,12.4625,12.8025,,,pending,
-yRb-Jum7EQ__1,0,it,1.0225,1.1025,,,pending,
-yRb-Jum7EQ__1,1,comes,2.2425,2.9425,,,pending,
-yRb-Jum7EQ__1,2,with,3.2425,3.6625,,,pending,
-yRb-Jum7EQ__1,3,the,4.5225,4.7625,,,pending,
-yRb-Jum7EQ__1,4,assistance,5.1625,6.6225,,,pending,
-yRb-Jum7EQ__1,5,and,6.9625,7.0825,,,pending,
-yRb-Jum7EQ__1,6,agitation,7.6825,8.0425,,,pending,
-yRb-Jum7EQ__1,7,of,8.0825,8.1425,,,pending,
-yRb-Jum7EQ__1,8,states,8.1625,8.3825,,,pending,
-yRb-Jum7EQ__1,9,and,8.4025,8.5425,,,pending,
-yRb-Jum7EQ__1,10,"regimes,",8.6225,8.8425,,,pending,
-yRb-Jum7EQ__1,11,Yesterday,9.3025,9.7425,,,pending,
-yRb-Jum7EQ__1,12,Iran,9.7825,10.0025,,,pending,
-yRb-Jum7EQ__1,13,announced,10.0625,11.3825,,,pending,
-yRb-Jum7EQ__1,14,that,11.4225,11.7225,,,pending,
-yRb-Jum7EQ__1,15,it,11.8425,11.9025,,,pending,
-yRb-Jum7EQ__1,16,will,11.9425,12.0825,,,pending,
-yRb-Jum7EQ__1,17,finance,12.1825,12.8625,,,pending,
-yRb-Jum7EQ__1,18,the,13.8425,14.0225,,,pending,
-yRb-Jum7EQ__1,19,families,14.2425,14.5625,,,pending,
-yRb-Jum7EQ__1,20,of,14.8225,14.8825,,,pending,
-yRb-Jum7EQ__1,21,the,14.9825,15.1625,,,pending,
-yRb-Jum7EQ__1,22,terrorists,15.2825,16.0425,,,pending,
-yRb-Jum7EQ__1,23,and,16.1425,16.2025,,,pending,
-yRb-Jum7EQ__1,24,murderers,16.2225,16.5225,,,pending,
-yRb-Jum7EQ__1,25,this,16.5625,16.7825,,,pending,
-yRb-Jum7EQ__1,26,shows,17.5825,17.6825,,,pending,
-yRb-Jum7EQ__1,27,that,17.7025,17.8025,,,pending,
-yRb-Jum7EQ__1,28,"Iran,",17.8625,18.0225,,,pending,
-yRb-Jum7EQ__1,29,even,18.1825,18.5225,,,pending,
-yRb-Jum7EQ__1,30,after,18.7825,19.0425,,,pending,
-yRb-Jum7EQ__1,31,the,19.0825,19.1425,,,pending,
-yRb-Jum7EQ__1,32,nuclear,19.1825,19.3225,,,pending,
-yRb-Jum7EQ__1,33,"agreement,",19.4025,19.8225,,,pending,
-yRb-Jum7EQ__1,34,is,20.2625,20.4025,,,pending,
-yRb-Jum7EQ__1,35,continuing,20.5625,21.8225,,,pending,
-yRb-Jum7EQ__1,36,to,21.8425,21.9025,,,pending,
-yRb-Jum7EQ__1,37,aid,22.0225,22.0825,,,pending,
-yRb-Jum7EQ__1,38,"terrorism,",22.1225,22.8425,,,pending,
-yRb-Jum7EQ__1,39,including,23.0625,24.0025,,,pending,
-yRb-Jum7EQ__1,40,Palestinian,24.1025,24.8825,,,pending,
-yRb-Jum7EQ__1,41,"terrorism,",24.9825,25.4625,,,pending,
-yRb-Jum7EQ__1,42,Hezbollah,25.5225,26.0625,,,pending,
-yRb-Jum7EQ__1,43,terrorism,26.8425,27.3025,,,pending,
-yRb-Jum7EQ__1,44,and,27.3825,27.4825,,,pending,
-yRb-Jum7EQ__1,45,its,27.6025,27.7025,,,pending,
-yRb-Jum7EQ__1,46,assistance,27.7825,28.1425,,,pending,
-yRb-Jum7EQ__1,47,to,28.2025,28.2825,,,pending,
-yRb-Jum7EQ__1,48,Hamas.,28.3425,28.6825,,,pending,
